id,facility_type,name,sido,sigungu,address,doctor_count,lat,lon,useAprDay,strctCdNm,mainPurpsCdNm,totArea,flrNo,fire_station_dist_km,scale_group,distance_group,age_group,road_type,vam_score
1039,요양병원,장수요양병원,충남,홍성군,"충청남도 홍성군 은하면 구성남로 381, 381",2,36.55193491892052,126.5689318334943,20070724,,노유자시설,1932.04,0.0,2.9624595456338194,중규모 (연면적 1000~3000㎡),중거리 (1~3km),일반 (2000~2015년),기타,65
1040,요양병원,장수효요양병원,대구,대구서구,"대구광역시 서구 평리로 380, (내당동)",3,35.86551287747068,128.56448225948344,20110901,,의료시설,4194.17,0.0,1.019183500756134,대규모 (연면적 3000㎡ 이상),중거리 (1~3km),일반 (2000~2015년),기타,80
1041,요양병원,재단법인 자연재단 더필잎요양병원,인천,인천부평구,"인천광역시 부평구 장제로 175, 지하1(일부)층, 1층~8층 (부평동)",9,37.50127226819895,126.73037740148933, ,,의료시설,4648.92,0.0,0.6046282994167397,대규모 (연면적 3000㎡ 이상),근거리 (1km 미만),미상,기타,80
1042,요양병원,재단법인 제중의료복지재단 제중요양병원,서울,구로구,"서울특별시 구로구 새말로 60, 제중요양병원 지하1,2/1~10층 (구로동)",8,37.503224826621796,126.88663910190846,,,,,,0.6559162163983868,미상,근거리 (1km 미만),미상,기타,100
1043,요양병원,재단법인그루터기장유은혜요양병원,경남,김해시,"경상남도 김해시 금관대로 592, 2~5층 (무계동)",4,35.20125709369846,128.81482002409035, ,,의료시설,4341.71,0.0,0.5671220881050909,대규모 (연면적 3000㎡ 이상),근거리 (1km 미만),미상,기타,80
1044,요양병원,재단법인여수요양병원,전남,여수시,"전라남도 여수시 화양면 장수로 204-32, (화양면)",2,34.649565815548975,127.60758135274978,20041222,,의료시설,3853.88,0.0,6.317452397567918,대규모 (연면적 3000㎡ 이상),원거리 (3km 초과),일반 (2000~2015년),기타,60
1045,요양병원,전남제일요양병원,전남,화순군,"전라남도 화순군 화순읍 덕음로 999, (화순읍)",9,35.049183204962844,126.98510975388331, ,,제1종근린생활시설,7734.54,0.0,1.2121867817464882,대규모 (연면적 3000㎡ 이상),중거리 (1~3km),미상,기타,65
1046,요양병원,전북특별자치도 고창노인요양병원,전북,고창군,"전북특별자치도 고창군 고창읍 고인돌대로 1765, (고창읍)",5,35.43721731176897,126.69105049679195,20230221,,의료시설,5304.48,0.0,0.5248056845051025,대규모 (연면적 3000㎡ 이상),근거리 (1km 미만),신축 (2015년 이후),기타,100
1047,요양병원,전북특별자치도 남원노인요양병원,전북,남원시,"전북특별자치도 남원시 산성길 51-15, (산곡동)",6,35.420932559037226,127.37326766258747,20191025,,의료시설,5278.33,0.0,0.7227584145488126,대규모 (연면적 3000㎡ 이상),근거리 (1km 미만),신축 (2015년 이후),기타,100
1048,요양병원,전주 정드림요양병원,전북,전주덕진구,"전북특별자치도 전주시 덕진구 솔내로 148,  (송천동1가)",4,35.86334976617428,127.12734025591115,20060609,,제1종근린생활시설,10607.743,0.0,1.9310376017645494,대규모 (연면적 3000㎡ 이상),중거리 (1~3km),일반 (2000~2015년),기타,65
