id,facility_type,name,sido,sigungu,address,capacity,caregiver_count,lat,lon,useAprDay,strctCdNm,mainPurpsCdNm,totArea,flrNo,fire_station_dist_km,scale_group,distance_group,age_group,road_type,vam_score
2575,요양원,밝은집,,안성시,안성시 보개면 남사당로 489 (보개면),28,18,37.057444369863774,127.31605288540679,20001018,,교육연구및복지시설,487.69,0.0,6.67633220166549,중규모 (10~49인),원거리 (3km 초과),일반 (2000~2015년),기타,45
2576,요양원,구세군안성요양원,,안성시,안성시 금석길 22-36 (금석동),60,26,37.02894145299625,127.27020201650816, ,, ,18.0,0.0,1.8092573382707602,대규모 (50인 이상),중거리 (1~3km),미상,기타,65
2577,요양원,인선사랑요양원,,안성시,안성시 양성면 미리내성지로 274-29 (양성면),300,28,37.12916656208806,127.26352797730073,20050128,,교육연구및복지시설,9632.59,0.0,6.097607304051522,대규모 (50인 이상),원거리 (3km 초과),일반 (2000~2015년),기타,25
2578,요양원,성모성심요양원,,안성시,안성시 금광면 종합운동장로 39 (금광면),26,15,37.00245227078717,127.3242450393878, ,, ,0.0,0.0,4.247743432459111,중규모 (10~49인),원거리 (3km 초과),미상,기타,45
2579,요양원,우리행복요양원,,안성시,안성시 양성면 마정개나리길 37-9 (양성면),49,22,37.021447359074585,127.19939432030324, ,, ,30.85,0.0,3.2668174047283554,중규모 (10~49인),원거리 (3km 초과),미상,기타,45
2580,요양원,맞춤요양원,,안성시,안성시 보개면 이전봉산길 127-19 (보개면),20,1,37.06421103331802,127.28955165911735,20090123,,노유자시설,481.36,0.0,5.912988010160572,중규모 (10~49인),원거리 (3km 초과),일반 (2000~2015년),기타,40
2581,요양원,희망요양원,,안성시,안성시 서운면 서운신기길 60-91 (서운면),24,14,36.96226676180889,127.2761404306273, ,, ,0.0,0.0,2.191294509592822,중규모 (10~49인),중거리 (1~3km),미상,기타,65
2582,요양원,안성보은의 집,,안성시,안성시 중앙로451번길 12-11 (봉산동),29,13,37.00653946321022,127.27767992277268,20100312,,노유자시설,793.26,0.0,0.09499226559994563,중규모 (10~49인),근거리 (1km 미만),일반 (2000~2015년),기타,80
2583,요양원,한사랑너싱홈,,안성시,안성시 죽산면 용설로 372 (죽산면),29,17,37.053397455277235,127.43984563984209,20100507,,노유자시설,683.58,0.0,2.147903552160787,중규모 (10~49인),중거리 (1~3km),일반 (2000~2015년),기타,80
2584,요양원,햇살가득 요양원,,안성시,안성시 양성면 속말길 22-35 (양성면),20,14,37.03218606600579,127.19288164164604,20100819,,노유자시설,472.0,0.0,2.852143316253183,중규모 (10~49인),중거리 (1~3km),일반 (2000~2015년),기타,80
2585,요양원,안성금오요양원,,안성시,안성시 보개면 불현길 3 (보개면),49,30,37.02486498700277,127.28721163032318,20251119,,노유자시설,5733.62,0.0,2.2671924294977956,중규모 (10~49인),중거리 (1~3km),신축 (2015년 이후),기타,100
2586,요양원,서희재활요양원,,안성시,안성시 양성면 상마정앞길 90 (양성면),49,26,37.02020447409457,127.19507045588995,20090407,,문화및집회시설,998.36,0.0,2.9009073282514515,중규모 (10~49인),중거리 (1~3km),일반 (2000~2015년),기타,65
2587,요양원,에벤에셀 실버케어,,안성시,안성시 공도읍 정봉길 113 (공도읍),29,9,36.99425369380111,127.18201408038146,20240927,,노유자시설,2307.72,0.0,1.0721121110119218,중규모 (10~49인),중거리 (1~3km),신축 (2015년 이후),기타,80
2588,요양원,기쁨의동산요양원,,안성시,안성시 공도읍 상마정앞길 87-16,29,3,37.018465216516816,127.19529898606126,20081104,,제1종근린생활시설,294.45,0.0,2.7750994269800837,중규모 (10~49인),중거리 (1~3km),일반 (2000~2015년),기타,45
2589,요양원,예다한노인요양원,,안성시,안성시 죽산면 죽주로153,8,8,37.0729838181536,127.41322104387024,20131120,,노유자시설,480.97,0.0,1.0976059463109342,소규모 (10인 미만),중거리 (1~3km),일반 (2000~2015년),기타,80
2590,요양원,실로원,,김포시,김포시 고촌읍 태리로 73-6 (고촌읍),20,19,37.60475382778658,126.74785394254586, ,,단독주택,199.32,0.0,2.2949517046398613,중규모 (10~49인),중거리 (1~3km),미상,기타,65
2591,요양원,사랑의 뜨락,,김포시,김포시 월곶면 점동로 65-139 (월곶면),28,19,37.72186789050804,126.56688678128769,20090526,,노유자시설,258.6,0.0,9.924179428313941,중규모 (10~49인),원거리 (3km 초과),일반 (2000~2015년),기타,60
2592,요양원,로뎀동산,,김포시,김포시 월곶면 고정로 79-48 (월곶면),18,12,37.726088590240444,126.57899157549679, ,, ,12.0,0.0,10.302718943232627,중규모 (10~49인),원거리 (3km 초과),미상,기타,45
2593,요양원,에덴동산요양원,,김포시,김포시 고촌읍 태리로47번길 49 (고촌읍),16,12,37.604044829699276,126.75149129055573,20130118,,노유자시설,392.36,0.0,1.967983310999111,중규모 (10~49인),중거리 (1~3km),일반 (2000~2015년),기타,80
2594,요양원,연세노인전문요양원,,김포시,"김포시 북변1로 24 (북변동, 3층)",48,31,37.626929510351914,126.70459160814168,20081226,,제1종근린생활시설,3157.75,0.0,0.237011518885144,중규모 (10~49인),근거리 (1km 미만),일반 (2000~2015년),기타,65
2595,요양원,삼성요양원,,김포시,김포시 양촌읍 양곡1로 65 4층 (양촌읍),48,31,37.656344707112666,126.62286695876219, ,,제1종근린생활시설,7032.3,0.0,2.647692922243274,중규모 (10~49인),중거리 (1~3km),미상,기타,65
2596,요양원,진솔요양원,,김포시,김포시 북변중로 70 (북변동),43,26,37.62712767137,126.70955386662995, ,,노유자시설,1914.79,0.0,0.6394138994033588,중규모 (10~49인),근거리 (1km 미만),미상,기타,80
2597,요양원,가족요양원,,김포시,"김포시 김포대로 841 701호 (사우동, 제우스프라자)",25,18,37.619528944131794,126.72003229305109,20080807,,제2종근린생활시설,6826.86,0.0,1.8257270516283808,중규모 (10~49인),중거리 (1~3km),일반 (2000~2015년),기타,65
2598,요양원,미소요양원,,김포시,김포시 월곶면 용강로37번길 76-18 (월곶면),49,35,37.72411071720959,126.55343735719049, ,, ,19.8,0.0,10.397296034760329,중규모 (10~49인),원거리 (3km 초과),미상,기타,45
2599,요양원,우슬초요양원,,김포시,김포시 대곶면 용두로18번길 30 (대곶면),26,15,37.656904804996245,126.59853246693855,20110315,,노유자시설,598.68,0.0,2.9638535962279566,중규모 (10~49인),중거리 (1~3km),일반 (2000~2015년),기타,80
2600,요양원,삼성훼밀리요양원,,김포시,김포시 양촌읍 김포한강4로 278번길 49-27 (양촌읍),142,85,37.65435837961044,126.65258005612225, ,, ,0.0,0.0,1.7891211671635479,대규모 (50인 이상),중거리 (1~3km),미상,기타,65
2601,요양원,사랑마을,,김포시,김포시 월곶면 김포대로 2918번길 62 (월곶면),29,21,37.721639511721904,126.54135326957433,,,,,,10.45028795500162,중규모 (10~49인),원거리 (3km 초과),미상,기타,80
2602,요양원,미소담 요양원,,김포시,김포시 김포한강8로 169 6층 (마산동),28,20,37.637603029520264,126.64386494456453, ,,제1종근린생활시설,5594.83,0.0,0.2292950696766028,중규모 (10~49인),근거리 (1km 미만),미상,기타,65
2603,요양원,김포해든요양원,,김포시,"김포시 하성면 하성로 489 1,2,3층 (하성면)",49,33,37.718356195337165,126.63563330970786,20190902,,제1종근린생활시설,3357.59,0.0,8.784200573662183,중규모 (10~49인),원거리 (3km 초과),신축 (2015년 이후),기타,65
2604,요양원,김포미가요양원,,김포시,"김포시 김포한강4로 543 1동702호 (구래동, 지오프라자)",27,14,37.645325658131185,126.62356628167458, ,,제1종근린생활시설,12659.85,0.0,1.9316407888865161,중규모 (10~49인),중거리 (1~3km),미상,기타,65
2605,요양원,실버팰리스요양원,,김포시,김포시 통진읍 김포대로 2337-12 (통진읍),49,24,37.69480544826767,126.58774222203377,20221027,,노유자시설,1991.21,0.0,6.835314135341685,중규모 (10~49인),원거리 (3km 초과),신축 (2015년 이후),기타,80
2606,요양원,닥터M요양원,,김포시,"김포시 김포한강8로 416 (구래동, 6층)",29,13,37.64280900749041,126.62274584846173,20221117,,제1종근린생활시설,9539.57,0.0,1.9299058771962834,중규모 (10~49인),중거리 (1~3km),신축 (2015년 이후),기타,85
